时间,公司名称,公司名称链接,行业,轮次,金额,投资方,最新估值(估算),字段1,字段2,字段3
2016-9-27,新学说,https://www.itjuzi.com/company/33267,天使轮,数百万人民币,好未来(学而思)（领投）芥末堆,3000万人民币,教育,K12,教育媒体及社区,
2016-9-26,蚂蚁公考,https://www.itjuzi.com/company/82835,种子轮,30万人民币,未透露,150万人民币,教育,职业培训,教育大数据,
2016-9-26,蓝墨,https://www.itjuzi.com/company/60089,天使轮,数千万人民币,新道科技（领投）用友幸福投资,1.5亿人民币,教育,教育信息化,直播,
2016-9-26,贝瓦商务咨询,https://www.itjuzi.com/company/44882,A轮,2000万人民币,寻锡投资,1亿人民币,教育,出国留学,,
2016-9-24,学而习之,https://www.itjuzi.com/company/956,A轮,未透露,亦庄互联基金,1亿人民币,教育,K12,,
2016-9-23,考虫英语,https://www.itjuzi.com/company/31059,B轮,800万美元,经纬中国（领投）北极光创投,2.6亿人民币,教育,语言学习,考研,
2016-9-23,Kahoot,https://www.itjuzi.com/company/22276,A轮,1000万美元,未透露,3.25亿人民币,教育,儿童早教,休闲益智,
2016-9-23,NOBOOK虚拟实验室,https://www.itjuzi.com/company/23295,A轮,1500万人民币,好未来(学而思),3亿人民币,教育,K12,数字化教辅教材,
2016-9-23,课外喵,https://www.itjuzi.com/company/34373,A轮,3000万人民币,粤商创投分豆不等基金,1.5亿人民币,教育,K12,B2B2C,
2016-9-23,作业帮,https://www.itjuzi.com/company/25430,B轮,6000万美元,GGV纪源资本（领投）襄禾资本（领投）红杉资本中国君联资本...,19.5亿人民币,教育,K12,"教育直播,提供拍照答题服务的教育产品",
2016-9-22,Goodtalk国棠虹科,https://www.itjuzi.com/company/60243,天使轮,数百万人民币,吉姆·罗杰斯（领投）,1500万人民币,教育,出国留学,语言学习,
2016-9-22,百造学堂,https://www.itjuzi.com/company/44780,种子轮,100万人民币,水木资本,500万人民币,教育,素质教育,职场技能培训,
2016-9-22,大咖说,https://www.itjuzi.com/company/29511,天使轮,数千万人民币,水木资本,1.5亿人民币,教育,素质教育,知识分享,
